id,name,Gross,company
641,TCM: Die Hard 30th Anniversary Event,510241,Fathom
642,The Spy Gone North,500803,CJ
643,Monsters and Men,500101,Neon
644,Bilal: A New Breed of Hero,490973,VE
645,The Great Battle,472166,WGUSA
646,The Happy Prince,466440,SPC
647,Puffs: Filmed Live Off Broadway,464483,Fathom
648,Final Portrait,461972,SPC
649,Scotty and the Secret History of Hollywood,461689,Greenwich
650,South Pacific (60th Anniversary),458000,Fathom
651,Condorito: La Pelicula,447719,LGF
652,Perfect Blue (2018 re-release),446062,GK
653,Porco Rosso - Studio Ghibli Fest 2018,443059,Fathom
654,Elf (15th Anniversary),442073,WB
655,DCI 2018: Tour Premiere,434008,Fathom
656,The Shining (2018 re-issue),421572,WB
657,NT LIVE: FRANKENSTEIN Cumberbatch as Creature,417783,Fathom
658,Cirque du Soleil: KURIOS - Cabinet Of Curiosities,413039,Fathom
659,Bag of Marbles,411318,Gaum.
660,"Night Is Short, Walk On Girl",406490,GK
661,The Philadelphia Story (2018 re-release),404524,Fathom
662,The Oath (2018),401463,RAtt.
663,We the Animals,400961,Orch.
"The Gospel According to Andr?,Magn.",<blank>,400713.00,664
665,Leaning Into The Wind,400530,Magn.
666,TCM: West Side Story,398670,Fathom
667,RiffTrax Live: Space Mutiny,397887,Fathom
668,RiffTrax Live: Krull,397157,Fathom
669,Vertigo (60th Anniversary),394212,Fathom
670,Soorma,390077,Sony
671,Attack on Titan Season 3,377334,FUN
672,The Dark Knight (10th Anniversary),375589,WB
673,Oh Lucy!,375391,FM
674,Grace Jones: Bloodlight and Bami,375208,KL
675,Jurassic Park (25th Anniversary),374238,Fathom
676,Pom Poko - Studio Ghibli Fest 2018,372405,Fathom
677,Believer,365639,WGUSA
678,Mountain,365412,Greenwich
679,Kusama: Infinity,360931,Magn.
680,The Wizard of Oz (2018 re-issue),351839,WB
681,Suicide: The Ripple Effect,347468,Gathr
682,Sailor Moon R & S - The Movies,335697,Fathom
683,Russ Taff: I Still Believe,334983,Fathom
684,Shine (2018),333388,GVN
685,Hichki,330279,Yash
686,Flower,328188,Orch.
687,Bolshoi Ballet: The Nutcracker,323928,Fathom
688,The Opera House,320079,Fathom
689,The Riot and the Dance,316103,Fathom
690,Bolshoi Ballet 2017/2018: Romeo and Juliet,313088,Fathom
691,MET Opera: Magic Flute,307686,Fathom
692,Damsel,305136,Magn.
693,Wilder vs Fury,304482,Fathom
694,Bolshoi Ballet 2017/2018: Giselle,302681,Fathom
695,Sunset Boulevard (2018 re-release),299645,Fathom
696,Harry Potter & the Sorcerer's Stone (2018 re-release),295917,WB
697,More Than Funny: Everybody Has a Punchline,290498,Fathom
698,The Son of Bigfoot,289308,VPD
699,Andy Irons: Kissed by God,285933,Fathom
700,Golden Job,285795,WGUSA
701,But Deliver Us from Evil,285169,Indic.
702,Newsies: The Broadway Musical (2018 re-release),282429,Fathom
703,Science Fair,276195,NGE
704,Kings (2018),274635,Orch.
705,The Endless,272020,WGUSA
706,The World Before Your Feet,268644,Greenwich
707,Doctor Who: Genesis of the Daleks,264629,Fathom
708,Detective Dee: The Four Heavenly Kings,262963,WGUSA
709,Eating You Alive,260534,Fathom
710,What They Had,260136,BST
711,The King (2018),259291,Osci.
712,Across the Universe (2018 re-release),258618,Fathom
713,Big 30th Anniversary,258507,Fathom
714,Back to Burgundy,257610,MBox
715,London Fields,252676,GVN
716,Best F(r)iends Movie,252410,Fathom
717,Batti Gul Meter Chalu,249539,Eros
718,Harry Potter & the Chamber of Secrets (2018 re-release),245501,WB
719,The Fireflies are Gone,245006,EOne
720,RWBY Volume 6 Premiere,238379,Fathom
721,Generation Wealth,237709,Magn.
722,Alien Intrusion: Unmasking a Deception,237411,Fathom
723,Skate Kitchen,236799,Magn.
724,NT Live: Hamlet 2018 Encore,235229,Fathom
725,Superman 40th Anniversary,233585,Fathom
726,Sailor Moon SuperS - The Movie,231434,Fathom
727,Borg vs. McEnroe,231346,Neon
728,Matangi/Maya/M.I.A.,230808,Abr.
729,MFKZ,229423,GK
730,Swing Kids (2018),222001,WGUSA
731,Little Pink House,220948,Da.
732,Mazinger Z: INFINITY,220682,Fathom
733,Fragments of Truth,219342,Fathom
734,Harry Potter & the Prisoner of Azkaban (2018 re-release),218774,WB
735,Dark Money,217932,PBS
736,Getting Grace,217812,Hann.
737,The Producers (50th Anniversary),216807,Fathom
738,The Treasure of the Sierra Madre (70th anniversary),215295,Fathom
739,Agent Mr. Chan,208351,CL
740,The Dating Project,208100,Fathom
741,The Guilty,207140,Magn.
742,Default,203775,CJ
743,Keep the Change,202788,KL
744,Bolshoi Ballet 2017/2018: Coppelia,202217,Fathom
745,Zama,200600,Strand
746,Gemini,200340,Neon
747,Gauguin: Voyage to Tahiti,200140,Cohen
748,TCM: Rebel Without a Cause,199963,Fathom
749,Studio 54,199767,Zeit.
750,Jason Mraz: Have It All The Movie,197142,Atlantic Rec
751,Fate/Stay Night: Heaven's Feel - I. Presage Flower,193833,Fathom
752,The Final Year,191900,Magn.
753,Harry Potter & the Goblet of Fire (2018 re-release),188716,WB
754,Bolshoi Ballet: Don Quixote (2018),187946,Fathom
755,Never-Ending Man: Hayao Miyazaki,187320,GK
756,The Monkey King 3,187074,WGUSA
757,Goldbuster,186135,WGUSA
758,Summer 1993,185903,Osci.
759,Maquia: When the Promised Flower Blooms (Subtitled),185699,Elev.
760,Madeline's Madeline,185576,Osci.
761,NT Live: King Lear,185305,Fathom
762,Cobra Kai Premiere Event feat. The Karate Kid,185082,Fathom
763,Jane and Emma,184795,Excel
764,Karwaan,182009,PackYourBag
765,Harry Potter & the Deathly Hallows - Part 2 (2018 re-release),181938,WB
766,Last Letter,180946,CL
767,The Accidental Detective 2: In Action,179045,CJ
768,Buybust,178471,WGUSA
769,Batman: Mask of the Phantasm (25th Anniversary),178133,Fathom
770,The Guardians,177331,MBox
771,Bolshoi Ballet 2017/2018: The Flames of Paris,175922,Fathom
772,Always at the Carlyle,174251,Good Deed
773,Met Summer Encore: Turandot,172627,Fathom
774,Bolshoi Ballet: La Sylphide (2018),171177,Fathom
775,The House That Jack Built (Director's Cut),170113,IFC
776,Luis & the Aliens,169710,VPD
777,Bolshoi Ballet 2017/2018: The Lady of Camellias,167991,Fathom
778,Rampant,167937,WGUSA
779,Double Lover,167581,Cohen
780,Is Genesis History? (2018 re-release),166763,Fathom
781,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,166616,Magn.
782,Heading Home: The Tale of Team Israel,166117,Men.
783,Far from the Tree,166018,IFC
784,Journey's End,161796,Good Deed
785,The Samuel Project,161565,in8
786,NT LIVE: The Curious Incident of the Dog in the Night-Time (2018 Encore),160381,Fathom
787,Silencio,158723,Tulip
788,The Last Resort,158646,KL
789,Buttons: A New Musical Film,151983,Fathom
790,Eating Animals,149614,IFC
791,Ghost Stories,148747,IFC
792,Bad Reputation,148568,Magn.
793,Museo,148505,Vita.
794,Harry Potter & the Deathly Hallows - Part 1 (2018 re-release),148263,WB
795,Night of the Living Dead (50th Anniversary),147423,Fathom
796,The Little Mermaid (2018),147175,Conglomerate
797,TCM: Mr. Smith Goes to Washington,144738,Fathom
798,Best F(r)iends Volume Two,141524,Fathom
799,Harry Potter & the Order of the Phoenix (2018 re-release),132522,WB
800,Rudy (25th Anniversary),131200,Fathom
801,Harry Potter & the Half-Blood Prince (2018 re-release),130081,WB
802,Met Summer Encore: Madama Butterfly,129730,Fathom
803,Met Summer Encore: Eugene Onegin,129498,Fathom
804,Met Opera: Il Trovatore (2018),129393,Fathom
805,Support the Girls,129124,Magn.
806,Sleepless In Seattle 25th Anniversary,127281,Fathom
807,Monster Family,127259,VPD
808,The Young Karl Marx,125659,Orch.
809,Bel Canto,125569,Scre.
810,'85: The Greatest Team in Football History,124573,Fathom
811,Wings of Desire (2018 re-release),123830,Jan.
812,Yu-Gi-Oh! The Movie (2018 re-release),121688,Fathom
813,Love After Love,121098,IFC
814,Becoming Astrid,120486,MBox
815,Five Seasons: The Gardens of Piet Oudolf,119223,Argo.
816,Till the End of the World,118660,CL
817,The Great Buster: A Celebration,118344,Cohen
818,Bisbee '17,117470,4th Row
819,Ryuichi Sakamoto: Coda,117460,MUBI
820,George Takei's Allegiance (2018),117162,Fathom
821,Gonjiam: Haunted Asylum,115252,WGUSA
822,Mantra: Sounds into Silence,115013,Gathr
823,Nostalgia,114603,BST
824,Bodied,113956,Neon
825,HYMN - Sarah Brightman In Concert,113274,Fathom
826,A Boy. A Girl. A Dream.,112552,Gold.
827,Take Point,112386,CJ
828,"Hale County This Morning, This Evening",112282,CGld
829,The Dawn Wall,112191,Orch.
830,A Chance in the World - Premiere,112007,Fathom
831,The Negotiation,110986,CJ
832,Lu Over the Wall,109857,GK
833,El Angel,109608,Orch.
834,The Captain,109226,MBox
835,Mary Shelley,108900,IFC
836,In Between,107977,FM
837,NT Live: Julius Caesar,107057,Fathom
838,"Love, Cecil",106057,Zeit.
839,Airpocalypse,105678,CL
840,Never Heard,105271,Fathom
841,Sweet Country (2018),104297,Gold.
842,Namaste England,104079,Eros
843,Detective K: Secret of the Living Dead,104013,WGUSA
844,Memoir of War,103636,MBox
845,Happy Phirr Bhag Jayegi,103385,Eros
846,Filmworker,102609,KL
847,Ismael's Ghosts,102510,Magn.
848,Revenge (2018),102091,Neon
849,Andrei Rublev (re-release),102021,Jan.
850,Unstoppable (2018),101417,WGUSA
851,All About Nina,100335,Orch.
852,Meow Wolf: Origin Story,99488,Fathom
853,NT Live: Macbeth,97857,Fathom
854,Champion (2018),97472,WGUSA
855,GODSPEED The Race Across America,96690,Fathom
856,Golden Slumber,94450,CJ
857,Let the Corpses Tan,93409,KL
858,Reign of Judges: Title of Liberty - Concept Short,93224,Darin Southa
859,Bandstand: The Broadway Musical (2018),91000,Fathom
860,Madame,90979,Blue Fox
861,John McEnroe: In the Realm of Perfection,90964,Osci.
862,Running for Grace,89988,Blue Fox
863,NT Live: Cat on a Hot Tin Roof,89332,Fathom
864,The Third Murder,89315,FM
865,Bolshoi Ballet: Swan Lake,88905,Fathom
866,The House That Jack Built,87993,IFC
867,Goldstone,87639,Lightyear
868,The Price of Everything,87400,HBO
869,Lobster Cop,85693,CL
870,Big Brother,85624,WGUSA
871,How to Talk to Girls at Parties,84809,A24
872,Custody,83882,KL
873,NT Live: Antony & Cleopatra,83672,Fathom
874,Claire's Camera,83418,CGld
875,Blood Fest,82774,Fathom
876,Doctor Who: New Season Premiere,82698,Fathom
877,Godard Mon Amour,82264,Cohen
878,Yuri!!! on ICE Binge,81878,Fathom
879,Nancy (2018),80115,Gold.
880,En el Septimo Dia (On the Seventh Day),79887,CGld
881,Have a Nice Day,79393,Strand
882,The Princess and the Matchmaker,78900,CJ
883,The Boxcar Children: Surprise Island,78676,Fathom
884,Just a Breath Away,77987,EOne
885,Shock & Awe,77980,VE
886,93Queen,76056,Abr.
887,Mukkabaaz,75929,Eros
888,The Riot Act,75506,Hann.
889,Keys to the Heart,75134,CJ
890,Tehran Taboo,74758,KL
891,Above and Beyond: NASA's Journey to Tomorrow,74711,Fathom
892,After Auschwitz,73885,Passion Rive
893,Bye Bye Germany,73730,FM
894,The Last Suit,73548,OutF
895,"Nico, 1988",73304,Magn.
896,Helicopter Eela,71971,Eros
897,Namiya,70814,CL
898,The Fog (2018 re-release),70421,Rialto
899,Wastelander,70045,Indic.
900,Parchi,69431,ADC
901,Outside In,68492,Orch.
902,Chef Flynn,68407,KL
903,Where Hands Touch,67743,VE
904,Under the Tree,67596,Magn.
905,Making the Five Heartbeats,67415,Fathom
906,The Doctor from India,67136,Zeit.
907,3100: Run and Become,65524,Illumine
908,Beuys,65410,KL
909,Feng Shui (Myung Dang),64147,CJ
910,"Monrovia, Indiana",63944,Zipp.
911,Liz and the Blue Bird,63204,Elev.
912,The Gardener,62734,Grav.
913,Never Goin' Back,61271,A24
914,Viper Club,60607,RAtt.
915,Where is Kyra?,59717,Great Point
916,Bomb City,59329,Grav.
917,Digimon Adventure Tri. 4: Loss,59114,Fathom
918,"Westwood: Punk, Icon, Activist",58979,Greenwich
919,Horn From the Heart,58597,Abr.
920,A Kid Like Jake,58403,IFC
921,Cynthia,58177,Indic.
922,In Search of Greatness,58090,Art of Sport
923,Woman Walks Ahead,57528,A24
924,Black '47,57520,IFC
925,Bhavesh Joshi Superhero,57376,Eros
926,Ramen Heads,57345,FB
927,Django,56556,UTMW
928,American Dream: Detroit,55092,Fathom
929,Canelo vs Rocky,54916,Fathom
930,Digimon Adventure Tri. 6: Future,54324,Fathom
931,The Great Silence (2018 re-release),53074,FM
932,Twiceland,52874,CJ
933,Digimon Adventure Tri. 5: Coexistence,52339,Fathom
934,Before We Vanish,52087,Super
935,The Snowman Trek,51743,Fathom
936,Wanda (2018 re-release),51713,Jan.
937,I Am Not a Witch,50868,FM
938,Harry & Meghan - The Royal Wedding,50264,Fathom
939,Jumanji Movie Event,49381,Fathom
940,Hal,48698,Osci.
941,The China Hustle,48650,Magn.
942,350 Days - Legends. Champions. Survivors.,47526,Fathom
943,Bigger,46382,Free
944,Racer & the Jailbird,46337,Super
945,Summer in the Forest,45542,Abr.
946,Rodin,44261,Cohen
947,What Will People Say,44156,KL
948,Liyana,44045,Abr.
949,Garry Winogrand: All Things Are Photographable,44002,Greenwich
950,Hitler's Hollywood,43766,KL
951,Antonio Lopez 1970: Sex Fashion & Disco,43169,FM
952,First We Take Brooklyn,42812,ZP
953,A Ciambra,41934,IFC
954,Golden Exits,41888,VE
955,Western,41072,CGld
956,Humor Me,40099,Shout!
957,Submission,39985,Great Point
958,Mamma Mia! 10th Anniversary,39601,Fathom
959,Divide and Conquer: The Story of Roger Ailes,38510,Magn.
960,Araby,38399,Ghop
961,Gray Matter,38034,Indic.
962,The Heart of Nuba,37788,Abr.
963,Oolong Courtyard,37727,CL
964,Krystal,37516,Pala.
965,Girls vs Gangsters,37115,WGUSA
966,Return of the Hero,37108,Distrib.
967,Breath,37108,FR
968,Small Group,37058,Gathr
969,Searching for Ingmar Bergman,36686,Osci.
970,Mind Game (2017 re-release),36613,GK
971,A tous ceux qui ne me lisent pas,36506,EOne
972,"No Date, No Signature",36444,Distrib.
973,Le Corbeau (2018 re-issue),36089,Rialto
974,The House of Tomorrow,35821,Shout!
975,The Big Bad Fox and Other Tales,35787,GK
976,The Road Movie,35757,Osci.
977,PGS Intuition,35423,Gathr
978,That Summer,34556,IFC
979,24 Frames,34482,Jan.
980,Holy Hell (2018),34366,Indic.
981,Kuleana,33953,Gathr
982,Sollers Point,32608,Osci.
983,Goodland,32140,PDF
984,Moynihan,31970,FRun
985,Good Manners,31177,Distrib.
986,Poor Boy,31031,Indic.
987,Cold Water (2018 re-release),30209,Jan.
988,The Desert Bride,30110,Strand
989,Memories of Underdevelopment (2017 re-release),29647,Jan.
990,The Mercy,29538,Scre.
991,Charm City,29335,PBS
992,Restoring Tomorrow (Event),28556,Fathom
993,The Apparition (2018),28293,MBox
994,On Her Shoulders,28288,Osci.
995,Quai des Orfevres (2018 Re-issue),28013,Rialto
996,The Amendment,27961,Fathom
997,Senso (2018 re-release),27723,Rialto
998,The Cured,26630,IFC
999,Milford Graves Full Mantis,26566,CGld
1000,Belle de jour (2018 re-release),26331,Jan.
1001,The Charmer,26167,FM
1002,The Misandrists,26123,Cartilage
1003,Ridge Runners,26019,Indic.
1004,Jet Trash,26002,Indic.
1005,In the Intense Now,24955,Icar.
1006,Phoenix Wilder: And The Great Elephant Adventure,24844,Fathom
1007,The Day After,24746,CGld
1008,Swimming with Men,24708,IFC
1009,Life & Nothing More,24358,CFI
1010,Seven Years of Night,24281,CJ
1011,Elliot: The Littlest Reindeer,24262,Scre.
1012,Vazante,23884,MBox
1013,Death House,23833,Hann.
1014,Letter From Masanjia,23481,Ammo
1015,The Atomic Cafe (2018 re-release),22293,KL
1016,The Judge (2018),22257,IWF
1017,Winning Formula,22189,Indic.
1018,The Workshop,22061,Strand
1019,Loving Pablo,22017,Uni.
1020,The Female Brain,21786,IFC
1021,A Paris Education,21598,KL
1022,Half the Picture,21589,Grav.
1023,Primal Rage: The Bigfoot Reborn,21497,Fathom
1024,Tyrel,21456,Magn.
1025,Ganja & Hess (2018 re-release),21197,KL
1026,The Happys,21108,Indic.
1027,Ava,20940,Ghop
1028,Did You Wonder Who Fired the Gun?,20765,Ghop
1029,Tag Along: The Devil Fish,20726,CL
1030,Ice Dragon: The Legend of the Blue Daisies,20549,Fathom
1031,The Devil and Father Amorth,20449,Orch.
1032,Izzy Gets the Fuck Across Town,20208,Shout!
1033,Apocalypsis,20052,Indic.
1034,Eight Hours Don't Make a Day (2018 re-release),19987,Jan.
1035,"One Sings, the Other Doesn't",19919,Jan.
1036,Active Measures,19862,Super
1037,Freak Show,19696,IFC
1038,Who We are Now,19128,FR
1039,November (2018),19084,Osci.
1040,Anything,19037,Pala.
1041,Crime + Punishment,18644,IFC
1042,Mrs. Hyde,18627,Cartilage
1043,Maquia: When the Promised Flower Blooms (Dubbed),18539,Elev.
1044,Allegiance To Broadway (2018),18527,Fathom
1045,Desolation,18490,PDF
1046,Gabriel and the Mountain,18415,Strand
1047,306 Hollywood,18399,El Tigre
1048,Frank and Ava,17819,Hann.
1049,Marlina the Murderer in Four Acts,17788,Icar.
1050,King of Hearts (2018 re-release),17646,Cohen
1051,Chronicle of Anna Magdalena Bach,17527,Ghop
1052,A Bread Factory,17325,ITF
1053,Revival!,17252,TriCoast
1054,Haikara-San: Here Comes Miss Modern,16572,Elev.
1055,Detour (2018 re-release),16172,Jan.
1056,OUT on Stage,15623,Fathom
1057,Bob Le Flambeur (2017 re-release),15586,Rialto
1058,When You Read this Letter (2018 re-release),15552,Rialto
1059,Narcissister Organ Player,15334,FM
1060,Sicilian Ghost Story,15285,Strand
1061,People's Republic of Desire,15241,Tripod
1062,Trust Machine: The Story of Blockchain,14905,SingularDTV
1063,Prayer Before Dawn,14453,A24
1064,The Last Movie Star,14410,A24
1065,Chasing the Blues,14030,Ammo
1066,The Escape,14018,IFC
1067,Weed the People,13926,Abr.
1068,Here and Now,13892,AMBI
1069,Stavisky (2018 re-release),13793,Rialto
1070,The Boy Downstairs,13638,FR
1071,Un Traductor,13509,FM
1072,Shed Skin Papa,13331,CL
1073,Our Blood is Wine,13210,MBox
1074,Like Me,12965,KL
1075,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,12954,CARUSEL
1076,"Lou Andreas-Salom?, the Audacity to be Free",12875,CLS
1077,American Socialist: The Life & Times of Eugene Victor Debs,12609,FRun
1078,Of Fathers and Sons,12579,KL
1079,My Art,12554,FM
1080,American Chaos,12368,SPC
1081,Head Full of Honey,12350,WB
1082,Let Yourself Go,12189,Men.
1083,The Most Unknown,12119,Abr.
1084,Minding the Gap,11998,Magn.
1085,The Last Race,11947,Magn.
1086,Les Parents Terribles (2018 re-release),11818,Cohen
1087,Summer '03,11746,Blue Fox
1088,Hannah (2018),11700,PDF
1089,This is Our Land,11567,Distrib.
1090,Souvenir,11411,Strand
1091,Rendezvous in July (2018 re-release),11321,Rialto
1092,The Public Image is Rotten,11293,Abr.
1093,Bullitt County,11257,Mr. Pictures
1094,The Assassin's Code,11218,Grav.
1095,The Wedding Party 2: Destination Dubai,11140,IronFlix
1096,Class Rank,10452,Cdgm.
1097,Mama Africa Miriam Makeba,10430,Artma
1098,The Advocates,10402,CLS
1099,Around India with a Movie Camera,10389,Icar.
1100,Heavy Trip,10153,MBox
1101,Time Freak,10003,Grindstone
1102,Furious (Legend of Kolovrat),9996,CARUSEL
1103,The Owl's Legacy,9981,Icar.
1104,River Runs Red,9893,Cdgm.
1105,Please Stand By,9868,Magn.
1106,The Quest of Alain Ducasse,9627,Magn.
1107,Strangers on the Earth,9518,FRun
1108,El Mar La Mar,9065,CGld
1109,Step Up: High Water Premiere,9005,Fathom
1110,Zoo Wars,8998,PDF
1111,Survivors Guide to Prison,8982,Grav.
1112,Summer of '67,8941,MS
1113,Beauty and the Dogs,8915,Osci.
1114,Blood Feast,8708,Hann.
1115,Furlough,8472,IFC
1116,The Clovehitch Killer,8208,IFC
1117,Spiral,8190,Cohen
1118,Dark River,7714,FR
1119,Legend of the Mountain (2017 re-release),7640,KL
1120,The Lodgers,7362,EpicPics
1121,Shoah: Four Sisters,7323,Cohen
1122,Tall: The American Skyscraper and Louis Sullivan,7216,CGld
1123,Painless,7082,Indic.
1124,In Echo Park,7072,Indic.
1125,This is Congo,7051,Abr.
1126,In the Land of Pomegranates,7014,FRun
1127,Duckbutter,6877,Orch.
1128,Calling All Earthlings,6756,Carpe Stella
1129,A Whale of a Tale,6747,FLM
1130,An Evening with Beverly Luff Linn,6701,TFA
1131,School of Life,6300,Distrib.
1132,The Quake,6235,Magn.
1133,One Last Thing (2018),6232,Fathom
1134,I Am MLK Jr.,5918,Gathr
1135,Are We Not Cats,5518,Cleopatra
1136,Cuban Food Stories,5434,FRun
1137,Postcards from London,5312,Strand
1138,"Distant Voices, Still Lives (2018 reissue)",5234,Arrow
1139,In Searching,5210,Indic.
1140,12 Days,5204,Distrib.
1141,Intersection (2018),5116,Indic.
1142,Notes on Appearance,5065,Ghop
1143,The Texture of Falling,5010,BloodSweatHo
1144,Social Animals,5007,VE
1145,An L.A. Minute,5004,Strand
1146,Edward II (2018 re-release),4826,FM
1147,Status Update,4764,VE
1148,The Other Side of Everything,4685,Icar.
1149,The Long Dumb Road,4667,TFA
1150,Kangaroo,4547,Abr.
1151,Kickboxer Retaliation,4537,WGUSA
1152,Weightless,4461,Great Point
1153,The Peacemaker (2018),4400,Central Squa
1154,Small Group (Theatrical on Demand(r)),4299,Gathr
1155,Stella's Last Weekend,4215,Pala.
1156,The Party's Just Beginning,4145,Orch.
1157,Armed,3948,GVN
1158,American Dresser,3895,Cdgm.
1159,The Second Time Around,3837,FRun
1160,Cocote,3815,Ghop
1161,Nelly,3751,CLS
1162,La Familia,3696,FM
1163,FourPlay,3550,PDF
1164,The Citizen (2018),3495,Artma
1165,Under the Wire,3429,Abr.
1166,Cage Fighter,3392,IFC
1167,Followers,3350,Cdgm.
1168,Tom of Finland (Gathr Release),3314,Gathr
1169,At First Light,3292,EOne
1170,Over the Limit,3243,FM
1171,Game Changers,3142,Ammo
1172,Hot to Trot (2018),3133,FRun
1173,Nana,2784,FunAcad
1174,Straight into a Storm,2684,Abr.
1175,ACORN and the Firestorm,2621,FRun
1176,El Pacto,2488,Sony
1177,The Swan,2367,Synergetic
1178,10x10,2263,VE
1179,A Wizard's Tale,2150,Blue Fox
1180,West of the Jordan River,1926,KL
1181,Finding Happiness,1841,Gathr
1182,The Lost Village,1780,FRun
1183,An Actor Prepares,1743,Grav.
1184,Henchmen,1469,EOne
1185,That Way Madness Lies,1447,FRun
1186,Marrowbone,1377,Magn.
1187,Beauty and the Beholder,1368,R1
1188,I Still See You,1359,LGF
1189,Billionaire Boy's Club,1349,VE
1190,Guy (2018),1319,Distrib.
1191,Altered Perception,1259,Cdgm.
1192,Two Men Went to War (2018 re-release),1227,Indic.
1193,Under the Turban,1190,Gathr
1194,Half Brothers,1100,PDF
1195,Invisible Hands,1034,FRun
1196,Gangsterdam,954,Distrib.
1197,The Breadwinner (Gathr Release),834,Gathr
1198,TVTV: Video Revolutionaries,812,FRun
1199,Higher Power,528,Magn.
1200,The Legend of Hallowaiian,451,VPD
1201,Realms,147,TFA
1284,sajay,1,philip
1285,Happy Days,2147483647,Mine
1286,Test1,5,Test1
1287,Donald Wood,80000000,Donald Wood
1288,Pan's Labyrinth,83850267,WB
1289,Andrew Hartley's Movie Name,100000000,Andrew Hartley Inc.
1290,Andrew Hartley's Movie Name,1,Andrew Hartley Inc.
1291,newmovie,8,andrewhartley
1292,Epic Awesome Movie,100000000,Gavin Poulton
1293,Ahmad and the fantastic beasts ,2147483647,Sabbagh Studios 
1294,Ahmads Amazing Movie,2147483647,Sabbagh Studios
1295,joe myers,2147483647,johnson ahmad
1296,The Greatest Showman,435000000,20th Century Studios
1297,The Greatest Showman,435000000,20th Century Studios
1298,CyberSec,26,Austin Robinson
1299,CyberSec,25,Austin Robinson
1300,Platform,1090116,Basque Films
1301,Snatch,83557872,SKA Films
1302,TEST,155500,"<script img src=""htt"
1303,TEST,155500,awesome
1304,hello,1,is this working??
1305,Oh it definetly is ,999,lol lets go 
1306,"spunge<img src=""https://cdn.memes.com/up/39498981567583094/i/1568797962357.jpg"">",11,please work
1307,whhhhhatttt,3,hello
1308,james town,5544,studi o
1309,HACKED ,2147483647,RAMY
1310,SuperSaiyanYose,2147483647,JPDistribution
1311,Good Will Hunting,225000000,Be Gentlemn
1312,Charlie Brown,134,Snoopy Studios
1313,Finding Nemo,87100000,Pixar Animation Stud
1314,Finding Nemo,87100000,Pixar Animation Stud
1315,Finding Nemo,871,Pixar Animation Stud
1316,Moana,650,Walt Disney Animatio
1317,Moana,650,Walt Disney Animatio
1318,Titanic,2147483647,Paramount Pictures
1319,Titanic,2147483647,Paramount Pictures
1320,Moana,650,Walt Disney Animatio
1321,Titanic,500,Paramount Pictures
1322,Star Trek IV: The Voyage Home,133000000,Paramount
1323,Star Trek IV: The Voyage Home,133000000,Paramount
1324,FakeMovie,1000000000,I GOT IN
1325,Monkey Movie 2 ,1,Jungle Productions
1326,Monkey Movie 2 ,2,Jungle Productions
1327,Star Wars: TFA,2066000000,Disney
1328,Creed,173,Metro-Goldwyn-Mayer 
1329,El Camino,40000,Sony Pictures Televi
1330,Crybaby,8,Imagine
1331,Transfomers : Age of Extinction ,1104000000,Hasbro Films Di Bona
1332,Get Out ,255000000,Universal Pictures

